商品ID,上架日期,商品名称,品牌,平台,城市,成色,规格,价格,原价,卖家类型
UP-0001,2025-04-01,商品A,品牌A,平台A,杭州,全新未拆,512GB,5639,5999,个人卖家
UP-0002,2025-04-02,商品B,品牌B,平台B,南京,95新,标准版,6524,7999,认证商家
UP-0003,2025-04-03,商品C,品牌C,平台C,武汉,9成新,高配版,1657,2399,门店寄售
UP-0004,2025-04-04,商品D,品牌D,平台D,西安,8成新,64GB,1694,2999,个人卖家
UP-0005,2025-04-05,商品E,品牌E,平台E,青岛,轻微使用痕迹,128GB,535,1299,认证商家
UP-0006,2025-04-06,商品F,品牌F,平台A,上海,维修过,256GB,1330,3499,门店寄售
UP-0007,2025-04-07,商品G,品牌G,平台B,北京,全新未拆,512GB,5054,5600,个人卖家
UP-0008,2025-04-08,商品H,品牌H,平台C,广州,95新,标准版,328,699,认证商家
UP-0009,2025-04-09,商品I,品牌I,平台D,深圳,9成新,高配版,3024,4200,门店寄售
UP-0010,2025-04-10,商品J,品牌J,平台E,成都,8成新,64GB,913,1580,个人卖家
UP-0011,2025-04-11,商品K,品牌A,平台A,杭州,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0012,2025-04-12,商品L,品牌B,平台B,南京,维修过,256GB,1400,3500,门店寄售
UP-0013,2025-04-13,商品A,品牌C,平台C,武汉,全新未拆,512GB,5499,5999,个人卖家
UP-0014,2025-04-14,商品B,品牌D,平台D,西安,95新,标准版,6384,7999,认证商家
UP-0015,2025-04-15,商品C,品牌E,平台E,青岛,9成新,高配版,1517,2399,门店寄售
UP-0016,2025-04-16,商品D,品牌F,平台A,上海,8成新,64GB,1554,2999,个人卖家
UP-0017,2025-04-17,商品E,品牌G,平台B,,轻微使用痕迹,128GB,675,1299,认证商家
UP-0018,2025-04-18,商品F,品牌H,平台C,广州,维修过,256GB,1470,3499,门店寄售
UP-0019,2025-04-19,商品G,品牌I,平台D,深圳,全新未拆,512GB,5194,5600,个人卖家
UP-0020,2025-04-20,商品H,品牌J,平台E,成都,95新,标准版,468,699,认证商家
UP-0021,2025-04-21,商品I,品牌A,平台A,杭州,9成新,高配版,2884,4200,门店寄售
UP-0022,2025-04-22,商品J,品牌B,平台B,南京,8成新,64GB,773,1580,个人卖家
UP-0023,2025-04-23,商品K,品牌C,平台C,武汉,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0024,2025-04-24,商品L,品牌D,平台D,西安,维修过,256GB,1260,3500,门店寄售
UP-0025,2025-04-25,商品A,品牌E,平台E,青岛,全新未拆,512GB,5639,5999,个人卖家
UP-0026,2025-04-26,商品B,品牌F,平台A,上海,95新,标准版,6524,7999,认证商家
UP-0027,2025-04-27,商品C,品牌G,平台B,北京,9成新,高配版,1657,2399,门店寄售
UP-0028,2025-04-28,商品D,品牌H,平台C,广州,8成新,64GB,1694,2999,个人卖家
UP-0029,2025-04-29,商品E,品牌I,平台D,深圳,轻微使用痕迹,128GB,535,1299,认证商家
UP-0030,2025-04-30,商品F,品牌J,平台E,成都,维修过,256GB,1330,3499,门店寄售
UP-0031,2025-05-01,商品G,品牌A,平台A,杭州,全新未拆,512GB,5054,5600,个人卖家
UP-0032,2025-05-02,商品H,品牌B,平台B,南京,95新,标准版,328,699,认证商家
UP-0033,2025-05-03,商品I,品牌C,平台C,武汉,9成新,高配版,3024,4200,门店寄售
UP-0034,2025-05-04,商品J,品牌D,平台D,西安,8成新,64GB,,1580,个人卖家
UP-0035,2025-05-05,商品K,品牌E,平台E,青岛,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0036,2025-05-06,商品L,品牌F,平台A,上海,维修过,256GB,1400,3500,门店寄售
UP-0037,2025-05-07,商品A,品牌G,平台B,北京,全新未拆,512GB,5499,5999,个人卖家
UP-0038,2025-05-08,商品B,品牌H,平台C,广州,95新,标准版,6384,7999,认证商家
UP-0039,2025-05-09,商品C,品牌I,平台D,深圳,9成新,高配版,1517,2399,门店寄售
UP-0040,2025-05-10,商品D,品牌J,平台E,成都,8成新,64GB,1554,2999,个人卖家
UP-0041,2025-05-11,商品E,品牌A,平台A,杭州,轻微使用痕迹,128GB,675,1299,认证商家
UP-0042,2025-05-12,商品F,品牌B,平台B,南京,维修过,256GB,1470,3499,门店寄售
UP-0043,2025-05-13,商品G,品牌C,平台C,武汉,全新未拆,512GB,5194,5600,个人卖家
UP-0044,2025-05-14,商品H,品牌D,平台D,西安,95新,标准版,468,699,认证商家
UP-0045,2025-05-15,商品I,品牌E,平台E,青岛,9成新,高配版,2884,4200,门店寄售
UP-0046,2025-05-16,商品J,品牌F,平台A,上海,8成新,64GB,773,1580,个人卖家
UP-0047,2025-05-17,商品K,品牌G,平台B,北京,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0048,2025-05-18,商品L,品牌H,平台C,广州,维修过,256GB,1260,3500,门店寄售
UP-0049,2025-05-19,商品A,品牌I,平台D,深圳,全新未拆,512GB,5639,5999,个人卖家
UP-0050,2025-05-20,商品B,品牌J,平台E,成都,95新,标准版,6524,7999,认证商家
UP-0051,2025-05-21,商品C,品牌A,平台A,杭州,9成新,高配版,1657,2399,门店寄售
UP-0052,2025-05-22,商品D,品牌B,平台B,南京,8成新,64GB,1694,2999,个人卖家
UP-0053,2025-05-23,商品E,品牌C,平台C,武汉,,128GB,535,1299,认证商家
UP-0054,2025-05-24,商品F,品牌D,平台D,西安,维修过,256GB,1330,3499,门店寄售
UP-0055,2025-05-25,商品G,品牌E,平台E,青岛,全新未拆,512GB,5054,5600,个人卖家
UP-0056,2025-05-26,商品H,品牌F,平台A,上海,95新,标准版,328,699,认证商家
UP-0057,2025-05-27,商品I,品牌G,平台B,北京,9成新,高配版,3024,4200,门店寄售
UP-0058,2025-05-28,商品J,品牌H,平台C,广州,8成新,64GB,913,1580,个人卖家
UP-0059,2025-05-29,商品K,品牌I,平台D,深圳,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0060,2025-05-30,商品L,品牌J,平台E,成都,维修过,256GB,1400,3500,门店寄售
UP-0061,2025-05-31,商品A,品牌A,平台A,杭州,全新未拆,512GB,5499,5999,个人卖家
UP-0062,2025-06-01,商品B,品牌B,平台B,南京,95新,标准版,6384,7999,认证商家
UP-0063,2025-06-02,商品C,品牌C,平台C,武汉,9成新,高配版,1517,2399,门店寄售
UP-0064,2025-06-03,商品D,品牌D,平台D,西安,8成新,64GB,1554,2999,个人卖家
UP-0065,2025-06-04,商品E,品牌E,平台E,青岛,轻微使用痕迹,128GB,675,1299,认证商家
UP-0066,2025-06-05,商品F,品牌F,平台A,上海,维修过,256GB,1470,3499,门店寄售
UP-0067,2025-06-06,商品G,品牌G,平台B,北京,全新未拆,512GB,5194,5600,个人卖家
UP-0068,2025-06-07,商品H,品牌H,平台C,广州,95新,标准版,468,699,认证商家
UP-0069,2025-06-08,商品I,品牌I,平台D,深圳,9成新,高配版,2884,4200,门店寄售
UP-0070,2025-06-09,商品J,品牌J,平台E,成都,8成新,64GB,773,1580,个人卖家
UP-0071,2025-06-10,商品K,品牌A,平台A,杭州,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0072,2025-06-11,商品L,品牌B,平台B,南京,维修过,256GB,1260,3500,门店寄售
UP-0073,2025-06-12,商品A,品牌C,平台C,武汉,全新未拆,512GB,5639,5999,个人卖家
UP-0074,2025-06-13,商品B,品牌D,平台D,西安,95新,标准版,6524,7999,认证商家
UP-0075,2025-06-14,商品C,品牌E,平台E,青岛,9成新,高配版,1657,2399,门店寄售
UP-0076,2025-06-15,商品D,品牌F,平台A,上海,8成新,64GB,1694,2999,个人卖家
UP-0077,2025-06-16,商品E,品牌G,平台B,北京,轻微使用痕迹,128GB,535,1299,认证商家
UP-0078,2025-06-17,商品F,品牌H,平台C,广州,维修过,256GB,1330,3499,门店寄售
UP-0079,2025-06-18,商品G,品牌I,平台D,深圳,全新未拆,512GB,5054,5600,个人卖家
UP-0080,2025-06-19,商品H,品牌J,平台E,成都,95新,标准版,328,699,认证商家
UP-0081,,商品I,品牌A,平台A,杭州,9成新,高配版,3024,4200,门店寄售
UP-0082,2025-06-21,商品J,品牌B,平台B,南京,8成新,64GB,913,1580,个人卖家
UP-0083,2025-06-22,商品K,品牌C,平台C,武汉,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0084,2025-06-23,商品L,品牌D,平台D,西安,维修过,256GB,1400,3500,门店寄售
UP-0085,2025-06-24,商品A,品牌E,平台E,青岛,全新未拆,512GB,5499,5999,个人卖家
UP-0086,2025-06-25,商品B,品牌F,平台A,上海,95新,标准版,6384,7999,认证商家
UP-0087,2025-06-26,商品C,品牌G,平台B,北京,9成新,高配版,1517,2399,门店寄售
UP-0088,2025-06-27,商品D,品牌H,平台C,广州,8成新,64GB,1554,2999,个人卖家
UP-0089,2025-06-28,商品E,品牌I,平台D,深圳,轻微使用痕迹,128GB,675,1299,认证商家
UP-0090,2025-06-29,商品F,品牌J,平台E,成都,维修过,256GB,1470,3499,门店寄售
UP-0091,2025-06-30,商品G,品牌A,平台A,杭州,全新未拆,512GB,5194,5600,个人卖家
UP-0092,2025-07-01,商品H,品牌B,平台B,南京,95新,标准版,468,699,认证商家
UP-0093,2025-07-02,商品I,品牌C,平台C,武汉,9成新,高配版,2884,4200,门店寄售
UP-0094,2025-07-03,商品J,品牌D,平台D,西安,8成新,64GB,773,1580,个人卖家
UP-0095,2025-07-04,商品K,品牌E,平台E,青岛,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0096,2025-07-05,商品L,品牌F,平台A,上海,维修过,256GB,1260,3500,门店寄售
UP-0097,2025-07-06,商品A,品牌G,平台B,北京,全新未拆,512GB,5639,5999,个人卖家
UP-0098,2025-07-07,商品B,品牌H,平台C,广州,95新,标准版,6524,7999,认证商家
UP-0099,2025-07-08,商品C,品牌I,平台D,深圳,9成新,高配版,1657,2399,门店寄售
UP-0100,2025-07-09,商品D,品牌J,平台E,成都,8成新,64GB,999999,2999,个人卖家
UP-0101,2025-07-10,商品E,品牌A,平台A,杭州,轻微使用痕迹,128GB,535,1,认证商家
UP-0102,2025-07-11,商品F,品牌B,平台B,南京,维修过,256GB,-200,3499,门店寄售
UP-0103,2025-07-12,商品G,品牌C,平台C,武汉,全新未拆,512GB,5054,5600,个人卖家
UP-0104,2025-07-13,商品H,品牌D,平台D,西安,95新,标准版,328,699,认证商家
UP-0105,2025-07-14,商品I,品牌E,平台E,青岛,9成新,高配版,3024,4200,门店寄售
UP-0106,2025-07-15,商品J,品牌F,平台A,上海,8成新,64GB,913,1580,个人卖家
UP-0107,2025-07-16,商品K,品牌G,平台B,北京,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0108,2025-07-17,商品L,品牌H,平台C,广州,维修过,256GB,1400,3500,门店寄售
UP-0109,2025-07-18,商品A,品牌I,平台D,深圳,全新未拆,512GB,5499,5999,个人卖家
UP-0110,2025-07-19,商品B,品牌J,平台E,成都,95新,标准版,6384,7999,认证商家
UP-0111,2025-07-20,商品C,品牌A,平台A,杭州,9成新,高配版,1517,2399,门店寄售
UP-0112,2025-07-21,商品D,品牌B,平台B,南京,8成新,64GB,1554,2999,个人卖家
UP-0113,2025-07-22,商品E,品牌C,平台C,武汉,轻微使用痕迹,128GB,675,1299,认证商家
UP-0114,2025-07-23,商品F,品牌D,平台D,西安,维修过,256GB,1470,3499,门店寄售
UP-0115,2025-07-24,商品G,品牌E,平台E,青岛,全新未拆,512GB,5194,5600,个人卖家
UP-0116,2025-07-25,商品H,品牌F,平台A,上海,95新,标准版,468,699,认证商家
UP-0117,2025-07-26,商品I,品牌G,平台B,北京,9成新,高配版,2884,4200,门店寄售
UP-0118,2025-07-27,商品J,品牌H,平台C,广州,8成新,64GB,773,1580,个人卖家
UP-0023,2025-04-23,商品K,品牌C,平台C,武汉,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0061,2025-05-31,商品A,品牌A,平台A,杭州,全新未拆,512GB,5499,5999,个人卖家
