回答ID,提交日期,年龄,年龄段,性别,城市,职业,满意度,推荐意愿,购买频率,评论长度
R-0001,2025-05-01,18,18-24,男,深圳,教师,3,完全不愿意,每月,12
R-0002,2025-05-01,21,25-34,其他,成都,自由职业,3,非常愿意,每季度,19
R-0003,2025-05-01,24,35-44,不愿透露,杭州,销售,3,比较愿意,很少,26
R-0004,2025-05-01,27,45-54,女,南京,制造业,3,一般,从未,33
R-0005,2025-05-02,30,55+,男,武汉,医疗行业,3,不太愿意,每周,40
R-0006,2025-05-02,33,18-24,其他,西安,学生,4,完全不愿意,每月,47
R-0007,2025-05-02,36,25-34,不愿透露,青岛,互联网从业者,3,非常愿意,每季度,54
R-0008,2025-05-02,39,35-44,女,上海,教师,3,比较愿意,很少,61
R-0009,2025-05-03,42,45-54,男,北京,自由职业,3,一般,从未,68
R-0010,2025-05-03,45,55+,其他,广州,销售,3,不太愿意,每周,75
R-0011,2025-05-03,48,18-24,不愿透露,深圳,制造业,4,完全不愿意,每月,82
R-0012,2025-05-03,51,25-34,女,成都,医疗行业,2,非常愿意,每季度,89
R-0013,2025-05-04,54,35-44,男,杭州,学生,3,比较愿意,很少,96
R-0014,2025-05-04,57,45-54,,南京,互联网从业者,3,一般,从未,103
R-0015,2025-05-04,60,55+,不愿透露,武汉,教师,3,不太愿意,每周,110
R-0016,2025-05-04,20,18-24,女,西安,自由职业,4,完全不愿意,每月,117
R-0017,2025-05-05,23,25-34,男,青岛,销售,3,非常愿意,每季度,124
R-0018,2025-05-05,26,35-44,其他,上海,制造业,3,比较愿意,很少,131
R-0019,2025-05-05,29,45-54,不愿透露,北京,医疗行业,3,一般,从未,138
R-0020,2025-05-05,32,55+,女,广州,学生,3,不太愿意,每周,145
R-0021,2025-05-06,35,18-24,男,深圳,互联网从业者,4,完全不愿意,每月,152
R-0022,2025-05-06,38,25-34,其他,成都,教师,3,非常愿意,每季度,159
R-0023,2025-05-06,41,35-44,不愿透露,杭州,自由职业,2,比较愿意,很少,166
R-0024,2025-05-06,44,45-54,女,南京,销售,3,一般,从未,13
R-0025,2025-05-07,47,55+,男,武汉,制造业,3,不太愿意,每周,20
R-0026,2025-05-07,50,18-24,其他,西安,医疗行业,4,完全不愿意,每月,27
R-0027,2025-05-07,53,25-34,不愿透露,青岛,学生,3,非常愿意,每季度,34
R-0028,2025-05-07,56,35-44,女,上海,互联网从业者,3,比较愿意,很少,41
R-0029,2025-05-08,59,45-54,男,北京,教师,3,一般,从未,48
R-0030,2025-05-08,19,55+,其他,广州,自由职业,3,不太愿意,每周,55
R-0031,2025-05-08,22,18-24,不愿透露,深圳,销售,4,完全不愿意,每月,62
R-0032,2025-05-08,25,25-34,女,,制造业,3,非常愿意,每季度,69
R-0033,2025-05-09,28,35-44,男,杭州,医疗行业,3,比较愿意,很少,76
R-0034,2025-05-09,31,45-54,其他,南京,学生,2,一般,从未,83
R-0035,2025-05-09,34,55+,不愿透露,武汉,互联网从业者,3,不太愿意,每周,90
R-0036,2025-05-09,37,18-24,女,西安,教师,4,完全不愿意,每月,97
R-0037,2025-05-10,40,25-34,男,青岛,自由职业,3,非常愿意,每季度,104
R-0038,2025-05-10,43,35-44,其他,上海,销售,3,比较愿意,很少,111
R-0039,2025-05-10,46,45-54,不愿透露,北京,制造业,3,一般,从未,118
R-0040,2025-05-10,49,55+,女,广州,医疗行业,3,不太愿意,每周,125
R-0041,2025-05-11,52,18-24,男,深圳,学生,4,完全不愿意,每月,132
R-0042,2025-05-11,55,25-34,其他,成都,互联网从业者,3,非常愿意,每季度,139
R-0043,2025-05-11,58,35-44,不愿透露,杭州,教师,3,比较愿意,很少,146
R-0044,2025-05-11,18,45-54,女,南京,自由职业,3,一般,从未,153
R-0045,2025-05-12,21,55+,男,武汉,销售,2,不太愿意,每周,160
R-0046,2025-05-12,24,18-24,其他,西安,制造业,4,完全不愿意,每月,167
R-0047,2025-05-12,27,25-34,不愿透露,青岛,医疗行业,3,非常愿意,每季度,14
R-0048,2025-05-12,30,35-44,女,上海,学生,3,比较愿意,很少,21
R-0049,2025-05-13,33,45-54,男,北京,互联网从业者,3,一般,从未,28
R-0050,2025-05-13,36,55+,其他,广州,教师,3,不太愿意,每周,35
R-0051,2025-05-13,39,18-24,不愿透露,深圳,自由职业,4,完全不愿意,每月,42
R-0052,2025-05-13,42,25-34,女,成都,销售,3,非常愿意,每季度,49
R-0053,2025-05-14,45,35-44,男,杭州,制造业,3,比较愿意,很少,56
R-0054,2025-05-14,48,45-54,其他,南京,医疗行业,3,一般,从未,63
R-0055,2025-05-14,51,55+,不愿透露,武汉,学生,3,不太愿意,每周,70
R-0056,2025-05-14,54,18-24,女,西安,互联网从业者,3,完全不愿意,每月,77
R-0057,2025-05-15,57,25-34,男,青岛,教师,3,非常愿意,每季度,84
R-0058,2025-05-15,60,35-44,其他,上海,自由职业,3,比较愿意,很少,91
R-0059,2025-05-15,20,45-54,不愿透露,北京,销售,,一般,从未,98
R-0060,2025-05-15,23,55+,女,广州,制造业,3,不太愿意,每周,105
R-0061,2025-05-16,26,18-24,男,深圳,医疗行业,4,完全不愿意,每月,112
R-0062,2025-05-16,29,25-34,其他,成都,学生,3,非常愿意,每季度,119
R-0063,2025-05-16,32,35-44,不愿透露,杭州,互联网从业者,3,比较愿意,很少,126
R-0064,2025-05-16,35,45-54,女,南京,教师,3,一般,从未,133
R-0065,2025-05-17,38,55+,男,武汉,自由职业,3,不太愿意,每周,140
R-0066,2025-05-17,41,18-24,其他,西安,销售,4,完全不愿意,每月,147
R-0067,2025-05-17,44,25-34,不愿透露,青岛,制造业,2,非常愿意,每季度,154
R-0068,2025-05-17,47,35-44,女,上海,医疗行业,3,比较愿意,很少,161
R-0069,2025-05-18,50,45-54,男,北京,学生,3,一般,从未,168
R-0070,2025-05-18,53,55+,其他,广州,互联网从业者,3,不太愿意,每周,15
R-0071,2025-05-18,56,18-24,不愿透露,深圳,教师,4,完全不愿意,每月,22
R-0072,2025-05-18,59,25-34,女,成都,自由职业,3,非常愿意,每季度,29
R-0073,2025-05-19,19,35-44,男,杭州,销售,3,比较愿意,很少,36
R-0074,2025-05-19,22,45-54,其他,南京,制造业,3,一般,从未,43
R-0075,2025-05-19,25,55+,不愿透露,武汉,医疗行业,3,不太愿意,每周,50
R-0076,2025-05-19,28,18-24,女,西安,学生,4,完全不愿意,每月,57
R-0077,,31,25-34,男,青岛,互联网从业者,3,非常愿意,每季度,64
R-0078,2025-05-20,34,35-44,其他,上海,教师,2,比较愿意,很少,71
R-0079,2025-05-20,37,45-54,不愿透露,北京,自由职业,3,一般,从未,78
R-0080,2025-05-20,40,55+,女,广州,销售,3,不太愿意,每周,85
R-0081,2025-05-21,43,18-24,男,深圳,制造业,4,完全不愿意,每月,92
R-0082,2025-05-21,46,25-34,其他,成都,医疗行业,3,非常愿意,每季度,99
R-0083,2025-05-21,49,35-44,不愿透露,杭州,学生,3,比较愿意,很少,106
R-0084,2025-05-21,52,45-54,女,南京,互联网从业者,3,一般,从未,113
R-0085,2025-05-22,55,55+,男,武汉,教师,3,不太愿意,每周,120
R-0086,2025-05-22,58,18-24,其他,西安,自由职业,4,完全不愿意,每月,127
R-0087,2025-05-22,18,25-34,不愿透露,青岛,销售,3,非常愿意,每季度,134
R-0088,2025-05-22,21,35-44,女,上海,制造业,3,比较愿意,很少,141
R-0089,2025-05-23,24,45-54,男,北京,医疗行业,2,一般,从未,148
R-0090,2025-05-23,27,55+,其他,广州,学生,3,不太愿意,每周,155
R-0091,2025-05-23,30,18-24,不愿透露,深圳,互联网从业者,4,完全不愿意,每月,162
R-0092,2025-05-23,33,25-34,女,成都,教师,3,非常愿意,每季度,169
R-0093,2025-05-24,36,35-44,男,杭州,自由职业,3,比较愿意,很少,16
R-0094,2025-05-24,39,45-54,其他,南京,销售,3,一般,从未,23
R-0095,2025-05-24,42,55+,不愿透露,武汉,制造业,3,不太愿意,每周,30
R-0096,2025-05-24,45,18-24,女,西安,医疗行业,4,完全不愿意,每月,37
R-0097,2025-05-25,48,25-34,男,青岛,学生,3,非常愿意,每季度,44
R-0098,2025-05-25,130,35-44,其他,上海,互联网从业者,3,比较愿意,很少,51
R-0099,2025-05-25,54,45-54,不愿透露,北京,教师,9,一般,从未,58
R-0100,2025-05-25,57,55+,女,广州,自由职业,2,不太愿意,每周,5000
R-0101,2025-05-26,60,18-24,男,深圳,销售,4,完全不愿意,每月,72
R-0102,2025-05-26,20,25-34,其他,成都,制造业,3,非常愿意,每季度,79
R-0103,2025-05-26,23,35-44,不愿透露,杭州,医疗行业,3,比较愿意,很少,86
R-0104,2025-05-26,26,45-54,女,南京,学生,3,一般,从未,93
R-0105,2025-05-27,29,55+,男,武汉,互联网从业者,3,不太愿意,每周,100
R-0106,2025-05-27,32,18-24,其他,西安,教师,4,完全不愿意,每月,107
R-0107,2025-05-27,35,25-34,不愿透露,青岛,自由职业,3,非常愿意,每季度,114
R-0108,2025-05-27,38,35-44,女,上海,销售,3,比较愿意,很少,121
R-0109,2025-05-28,41,45-54,男,北京,制造业,3,一般,从未,128
R-0110,2025-05-28,44,55+,其他,广州,医疗行业,3,不太愿意,每周,135
R-0111,2025-05-28,47,18-24,不愿透露,深圳,学生,3,完全不愿意,每月,142
R-0112,2025-05-28,50,25-34,女,成都,互联网从业者,3,非常愿意,每季度,149
R-0113,2025-05-29,53,35-44,男,杭州,教师,3,比较愿意,很少,156
R-0114,2025-05-29,56,45-54,其他,南京,自由职业,3,一般,从未,163
R-0115,2025-05-29,59,55+,不愿透露,武汉,销售,3,不太愿意,每周,170
R-0116,2025-05-29,19,18-24,女,西安,制造业,4,完全不愿意,每月,17
R-0117,2025-05-30,22,25-34,男,青岛,医疗行业,3,非常愿意,每季度,24
R-0118,2025-05-30,25,35-44,其他,上海,学生,3,比较愿意,很少,31
R-0020,2025-05-05,32,55+,女,广州,学生,3,不太愿意,每周,145
R-0071,2025-05-18,56,18-24,不愿透露,深圳,教师,4,完全不愿意,每月,22
