订单ID,订单日期,大区,城市,品类,商品,销售渠道,客户类型,单价,数量,销售额,折扣率,销售代表
S-20250001,2025-01-01,华东,广州,电子产品,办公椅,线下门店,个人客户,4999,5,24995,0,刘洋
S-20250002,2025-01-03,华北,深圳,办公用品,书桌,企业直销,企业客户,92,2,175,0.05,陈晨
S-20250003,2025-01-05,华南,成都,家具,空气净化器,经销商,教育机构,945,3,2608,0.08,张敏
S-20250004,2025-01-07,西南,杭州,家电,跑步鞋,直播渠道,政府机构,1368,4,4925,0.1,李雷
S-20250005,2025-01-09,西北,南京,运动户外,双肩包,线上商城,个人客户,341,5,1500,0.12,王芳
S-20250006,2025-01-11,东北,武汉,服饰配件,打印纸,线下门店,企业客户,514,10,5140,0,赵强
S-20250007,2025-01-13,华东,西安,电子产品,投影仪,企业直销,教育机构,5137,7,34161,0.05,刘洋
S-20250008,2025-01-15,华北,青岛,办公用品,键盘,经销商,政府机构,69,8,508,0.08,陈晨
S-20250009,2025-01-17,华南,上海,家具,咖啡机,直播渠道,个人客户,922,9,7468,0.1,张敏
S-20250010,2025-01-19,西南,北京,家电,笔记本电脑,线上商城,企业客户,1345,10,11836,0.12,李雷
S-20250011,2025-01-21,西北,广州,运动户外,显示器,线下门店,教育机构,318,15,4770,0,王芳
S-20250012,2025-01-23,东北,深圳,服饰配件,无线鼠标,企业直销,政府机构,491,1,466,0.05,赵强
S-20250013,2025-01-25,,成都,电子产品,办公椅,经销商,个人客户,5114,2,9410,0.08,刘洋
S-20250014,2025-01-27,华北,杭州,办公用品,书桌,直播渠道,企业客户,207,3,559,0.1,陈晨
S-20250015,2025-01-29,华南,南京,家具,空气净化器,线上商城,教育机构,899,4,3164,0.12,张敏
S-20250016,2025-01-31,西南,武汉,家电,跑步鞋,线下门店,政府机构,1322,9,11898,0,李雷
S-20250017,2025-02-02,西北,西安,运动户外,双肩包,企业直销,个人客户,295,6,1682,0.05,王芳
S-20250018,2025-02-04,东北,青岛,服饰配件,打印纸,经销商,企业客户,468,7,3014,0.08,赵强
S-20250019,2025-02-06,华东,上海,电子产品,投影仪,直播渠道,教育机构,5091,8,36655,0.1,刘洋
S-20250020,2025-02-08,华北,北京,办公用品,键盘,线上商城,政府机构,184,9,1457,0.12,陈晨
S-20250021,2025-02-10,华南,广州,家具,咖啡机,线下门店,个人客户,1037,14,14518,0,张敏
S-20250022,2025-02-12,西南,深圳,家电,笔记本电脑,企业直销,企业客户,1299,11,13575,0.05,李雷
S-20250023,2025-02-14,西北,成都,运动户外,显示器,经销商,教育机构,272,1,250,0.08,王芳
S-20250024,2025-02-16,东北,杭州,服饰配件,无线鼠标,直播渠道,政府机构,445,2,801,0.1,赵强
S-20250025,2025-02-18,华东,南京,电子产品,办公椅,线上商城,个人客户,5068,3,13380,0.12,刘洋
S-20250026,2025-02-20,华北,武汉,办公用品,书桌,线下门店,企业客户,161,8,1288,0,陈晨
S-20250027,2025-02-22,华南,西安,家具,空气净化器,企业直销,教育机构,1014,5,4817,0.05,张敏
S-20250028,2025-02-24,西南,青岛,家电,跑步鞋,经销商,政府机构,1437,6,7932,0.08,李雷
S-20250029,2025-02-26,西北,上海,运动户外,双肩包,直播渠道,个人客户,249,7,1569,0.1,王芳
S-20250030,2025-02-28,东北,北京,服饰配件,打印纸,线上商城,企业客户,422,8,2971,0.12,赵强
S-20250031,2025-03-02,华东,广州,电子产品,投影仪,线下门店,教育机构,5045,13,65585,0,刘洋
S-20250032,2025-03-04,华北,深圳,办公用品,键盘,企业直销,政府机构,138,10,1311,0.05,陈晨
S-20250033,2025-03-06,华南,成都,家具,咖啡机,经销商,个人客户,991,11,10029,0.08,张敏
S-20250034,2025-03-08,西南,杭州,家电,笔记本电脑,直播渠道,企业客户,1414,1,1273,0.1,李雷
S-20250035,2025-03-10,西北,南京,运动户外,显示器,线上商城,教育机构,387,2,,0.12,王芳
S-20250036,2025-03-12,东北,武汉,服饰配件,无线鼠标,线下门店,政府机构,399,7,2793,0,赵强
S-20250037,2025-03-14,华东,西安,电子产品,办公椅,企业直销,个人客户,5022,4,19084,0.05,刘洋
S-20250038,2025-03-16,华北,青岛,办公用品,书桌,经销商,企业客户,115,5,529,0.08,陈晨
S-20250039,2025-03-18,华南,上海,家具,空气净化器,直播渠道,教育机构,968,6,5227,0.1,张敏
S-20250040,2025-03-20,西南,北京,家电,跑步鞋,线上商城,政府机构,1391,7,8569,0.12,李雷
S-20250041,2025-03-22,西北,广州,运动户外,双肩包,线下门店,个人客户,364,12,4368,0,王芳
S-20250042,2025-03-24,东北,深圳,服饰配件,打印纸,企业直销,企业客户,537,9,4591,0.05,赵强
S-20250043,2025-03-26,华东,成都,电子产品,投影仪,经销商,教育机构,4999,10,45991,0.08,刘洋
S-20250044,2025-03-28,华北,杭州,办公用品,键盘,直播渠道,政府机构,92,11,911,0.1,陈晨
S-20250045,2025-03-30,华南,南京,家具,咖啡机,线上商城,个人客户,945,1,832,0.12,张敏
S-20250046,2025-04-01,西南,武汉,家电,笔记本电脑,线下门店,企业客户,1368,6,8208,0,李雷
S-20250047,2025-04-03,西北,西安,运动户外,显示器,企业直销,教育机构,341,3,972,0.05,王芳
S-20250048,2025-04-05,东北,青岛,服饰配件,无线鼠标,经销商,政府机构,514,4,1892,0.08,赵强
S-20250049,2025-04-07,华东,上海,电子产品,办公椅,直播渠道,个人客户,5137,5,23117,0.1,刘洋
S-20250050,2025-04-09,华北,北京,办公用品,书桌,线上商城,企业客户,69,6,364,0.12,陈晨
S-20250051,2025-04-11,华南,广州,家具,空气净化器,线下门店,教育机构,922,11,10142,0,张敏
S-20250052,2025-04-13,西南,深圳,家电,跑步鞋,企业直销,政府机构,1345,8,10222,0.05,李雷
S-20250053,2025-04-15,西北,成都,运动户外,双肩包,经销商,个人客户,318,9,2633,0.08,王芳
S-20250054,2025-04-17,东北,杭州,服饰配件,打印纸,直播渠道,企业客户,491,10,4419,0.1,赵强
S-20250055,2025-04-19,华东,南京,电子产品,投影仪,线上商城,教育机构,5114,11,49504,0.12,刘洋
S-20250056,2025-04-21,华北,武汉,办公用品,键盘,线下门店,政府机构,207,5,1035,0,陈晨
S-20250057,2025-04-23,华南,西安,家具,咖啡机,企业直销,个人客户,899,2,1708,0.05,张敏
S-20250058,2025-04-25,西南,青岛,家电,笔记本电脑,经销商,企业客户,1322,3,3649,0.08,李雷
S-20250059,2025-04-27,西北,上海,运动户外,显示器,直播渠道,教育机构,295,4,1062,0.1,王芳
S-20250060,2025-04-29,东北,北京,服饰配件,无线鼠标,线上商城,政府机构,468,5,2059,0.12,赵强
S-20250061,2025-05-01,华东,广州,电子产品,办公椅,线下门店,个人客户,5091,10,50910,0,刘洋
S-20250062,2025-05-03,华北,深圳,办公用品,书桌,企业直销,企业客户,184,7,1224,0.05,陈晨
S-20250063,2025-05-05,华南,成都,家具,空气净化器,经销商,教育机构,1037,8,7632,0.08,张敏
S-20250064,2025-05-07,西南,杭州,家电,跑步鞋,直播渠道,政府机构,1299,9,10522,0.1,李雷
S-20250065,2025-05-09,西北,南京,运动户外,双肩包,线上商城,个人客户,272,10,2394,0.12,王芳
S-20250066,2025-05-11,东北,武汉,服饰配件,打印纸,线下门店,企业客户,445,15,6675,0,赵强
S-20250067,2025-05-13,华东,西安,电子产品,投影仪,企业直销,教育机构,5068,1,4815,0.05,刘洋
S-20250068,,华北,青岛,办公用品,键盘,经销商,政府机构,161,2,296,0.08,陈晨
S-20250069,2025-05-17,华南,上海,家具,咖啡机,直播渠道,个人客户,1014,3,2738,0.1,张敏
S-20250070,2025-05-19,西南,北京,家电,笔记本电脑,线上商城,企业客户,1437,4,5058,0.12,李雷
S-20250071,2025-05-21,西北,广州,运动户外,显示器,线下门店,教育机构,249,9,2241,0,王芳
S-20250072,2025-05-23,东北,深圳,服饰配件,无线鼠标,企业直销,政府机构,422,6,2405,0.05,赵强
S-20250073,2025-05-25,华东,成都,电子产品,办公椅,经销商,个人客户,5045,7,32490,0.08,刘洋
S-20250074,2025-05-27,华北,杭州,办公用品,书桌,直播渠道,企业客户,138,8,994,0.1,陈晨
S-20250075,2025-05-29,华南,南京,家具,空气净化器,线上商城,教育机构,991,9,7849,0.12,张敏
S-20250076,2025-05-31,西南,武汉,家电,跑步鞋,线下门店,政府机构,1414,14,19796,0,李雷
S-20250077,2025-06-02,西北,西安,运动户外,双肩包,企业直销,个人客户,387,11,4044,0.05,王芳
S-20250078,2025-06-04,东北,青岛,服饰配件,打印纸,经销商,企业客户,399,1,367,0.08,赵强
S-20250079,2025-06-06,华东,上海,电子产品,投影仪,直播渠道,教育机构,5022,2,9040,0.1,刘洋
S-20250080,2025-06-08,华北,北京,办公用品,键盘,线上商城,政府机构,115,3,304,0.12,陈晨
S-20250081,2025-06-10,华南,广州,家具,咖啡机,线下门店,个人客户,968,8,7744,0,张敏
S-20250082,2025-06-12,西南,深圳,家电,笔记本电脑,企业直销,企业客户,1391,5,6607,0.05,李雷
S-20250083,2025-06-14,西北,成都,运动户外,显示器,经销商,教育机构,364,6,2009,0.08,王芳
S-20250084,2025-06-16,东北,杭州,服饰配件,无线鼠标,直播渠道,政府机构,537,7,3383,0.1,赵强
S-20250085,2025-06-18,华东,南京,电子产品,办公椅,线上商城,个人客户,4999,8,35193,0.12,刘洋
S-20250086,2025-06-20,华北,武汉,办公用品,书桌,线下门店,企业客户,92,13,1196,0,陈晨
S-20250087,2025-06-22,华南,西安,家具,空气净化器,企业直销,教育机构,945,10,8978,0.05,张敏
S-20250088,2025-06-24,西南,青岛,家电,跑步鞋,经销商,政府机构,1368,11,13844,0.08,李雷
S-20250089,2025-06-26,西北,上海,运动户外,双肩包,直播渠道,个人客户,341,1,307,0.1,王芳
S-20250090,2025-06-28,东北,北京,服饰配件,打印纸,线上商城,企业客户,514,2,905,0.12,赵强
S-20250091,2025-06-30,华东,广州,电子产品,投影仪,线下门店,教育机构,5137,7,35959,0,刘洋
S-20250092,2025-07-02,华北,深圳,办公用品,键盘,企业直销,政府机构,69,4,262,0.05,陈晨
S-20250093,2025-07-04,华南,成都,家具,咖啡机,经销商,个人客户,922,5,4241,0.08,张敏
S-20250094,2025-07-06,西南,杭州,,笔记本电脑,直播渠道,企业客户,1345,6,7263,0.1,李雷
S-20250095,2025-07-08,西北,南京,运动户外,显示器,线上商城,教育机构,318,7,1959,0.12,王芳
S-20250096,2025-07-10,东北,武汉,服饰配件,无线鼠标,线下门店,政府机构,491,12,5892,0,赵强
S-20250097,2025-07-12,华东,西安,电子产品,办公椅,企业直销,个人客户,5114,9,43725,0.05,刘洋
S-20250098,2025-07-14,华北,青岛,办公用品,书桌,经销商,企业客户,207,10,1904,0.08,陈晨
S-20250099,2025-07-16,华南,上海,家具,空气净化器,直播渠道,教育机构,899,11,8900,0.1,张敏
S-20250100,2025-07-18,西南,北京,家电,跑步鞋,线上商城,政府机构,1322,1,1163,0.12,李雷
S-20250101,2025-07-20,西北,广州,运动户外,双肩包,线下门店,个人客户,295,6,1770,0,王芳
S-20250102,2025-07-22,东北,深圳,服饰配件,打印纸,企业直销,企业客户,99999,3,1334,0.05,赵强
S-20250103,2025-07-24,华东,成都,电子产品,投影仪,经销商,教育机构,5091,600,18735,0.08,刘洋
S-20250104,2025-07-26,华北,杭州,办公用品,键盘,直播渠道,政府机构,184,5,888888,0.1,陈晨
S-20250105,2025-07-28,华南,南京,家具,咖啡机,线上商城,个人客户,1037,6,5475,0.12,张敏
S-20250106,2025-07-30,西南,武汉,家电,笔记本电脑,线下门店,企业客户,1299,11,14289,0,李雷
S-20250107,2025-08-01,西北,西安,运动户外,显示器,企业直销,教育机构,272,8,2067,0.05,王芳
S-20250108,2025-08-03,东北,青岛,服饰配件,无线鼠标,经销商,政府机构,445,9,3685,0.08,赵强
S-20250109,2025-08-05,华东,上海,电子产品,办公椅,直播渠道,个人客户,5068,10,45612,0.1,刘洋
S-20250110,2025-08-07,华北,北京,办公用品,书桌,线上商城,企业客户,161,11,1558,0.12,陈晨
S-20250111,2025-08-09,华南,广州,家具,空气净化器,线下门店,教育机构,1014,5,5070,0,张敏
S-20250112,2025-08-11,西南,深圳,家电,跑步鞋,企业直销,政府机构,1437,2,2730,0.05,李雷
S-20250113,2025-08-13,西北,成都,运动户外,双肩包,经销商,个人客户,249,3,687,0.08,王芳
S-20250114,2025-08-15,东北,杭州,服饰配件,打印纸,直播渠道,企业客户,422,4,1519,0.1,赵强
S-20250115,2025-08-17,华东,南京,电子产品,投影仪,线上商城,教育机构,5045,5,22198,0.12,刘洋
S-20250116,2025-08-19,华北,武汉,办公用品,键盘,线下门店,政府机构,138,10,1380,0,陈晨
S-20250117,2025-08-21,华南,西安,家具,咖啡机,企业直销,个人客户,991,7,6590,0.05,张敏
S-20250118,2025-08-23,西南,青岛,家电,笔记本电脑,经销商,企业客户,1414,8,10407,0.08,李雷
S-20250019,2025-02-06,华东,上海,电子产品,投影仪,直播渠道,教育机构,5091,8,36655,0.1,刘洋
S-20250043,2025-03-26,华东,成都,电子产品,投影仪,经销商,教育机构,4999,10,45991,0.08,刘洋
